Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
GmA02017_CKDL210018111-1a-5UDI225-AK8488_HH72GDSX2_L1_clmp_fp2_r2_screen	33596.0	9390.0	17193.0	1439.0	385.0	75.0	112.0	83.0	1.0	0.0	0.0	45895.0	980043.0
GmA02018_CKDL210018111-1a-AK9144-AK7557_HH72GDSX2_L1_clmp_fp2_r1_screen	741002.0	177952.0	70671.0	14980.0	5480.0	795.0	2427.0	1674.0	63.0	0.0	2.0	853731.0	10843989.0
GmA02018_CKDL210018111-1a-AK9144-AK7557_HH72GDSX2_L1_clmp_fp2_r2_screen	737943.0	178226.0	70806.0	15110.0	5599.0	742.0	2444.0	1701.0	20.0	0.0	0.0	852372.0	10847803.0
GmA02019_CKDL210018111-1a-AK9144-GC06_HH72GDSX2_L1_clmp_fp2_r1_screen	386555.0	69625.0	102293.0	9707.0	2126.0	541.0	912.0	676.0	28.0	0.0	0.0	320859.0	5026634.0
GmA02019_CKDL210018111-1a-AK9144-GC06_HH72GDSX2_L1_clmp_fp2_r2_screen	385127.0	70276.0	102063.0	9524.0	2109.0	564.0	863.0	620.0	12.0	0.0	0.0	320980.0	5027818.0
GmA02020_CKDL210018111-1a-AK9144-AK4234_HH72GDSX2_L1_clmp_fp2_r1_screen	183775.0	30968.0	108852.0	8534.0	955.0	499.0	365.0	224.0	12.0	0.0	0.0	211980.0	2523897.0
GmA02020_CKDL210018111-1a-AK9144-AK4234_HH72GDSX2_L1_clmp_fp2_r2_screen	183363.0	31131.0	108951.0	8558.0	985.0	514.0	361.0	230.0	7.0	0.0	0.0	211757.0	2524204.0
GmA02021_CKDL210018111-1a-AK9144-GD06_HH72GDSX2_L1_clmp_fp2_r1_screen	0.0	0.0	20784.0	19781.0	2291.0	3625.0	1304.0	845.0	21.0	261.0	0.0	161128.0	4888006.0
GmA02021_CKDL210018111-1a-AK9144-GD06_HH72GDSX2_L1_clmp_fp2_r2_screen	1340878.0	54949.0	10088.0	6270.0	1227.0	427.0	544.0	324.0	5.0	0.0	0.0	389487.0	3293847.0
GmA02022_CKDL210018111-1a-5UDI225-GC06_HH72GDSX2_L1_clmp_fp2_r1_screen	48205.0	58784.0	228968.0	5724.0	2419.0	261.0	846.0	625.0	23.0	0.0	1.0	292720.0	5042697.0
GmA02022_CKDL210018111-1a-5UDI225-GC06_HH72GDSX2_L1_clmp_fp2_r2_screen	48423.0	58771.0	229020.0	5706.0	2481.0	246.0	900.0	641.0	8.0	0.0	0.0	292380.0	5042697.0
GmA02023_CKDL210018111-1a-AK3911-GC06_HH72GDSX2_L1_clmp_fp2_r1_screen	857156.0	36664.0	51627.0	8573.0	643.0	504.0	240.0	170.0	5.0	0.0	0.0	258161.0	2243229.0
GmA02023_CKDL210018111-1a-AK3911-GC06_HH72GDSX2_L1_clmp_fp2_r2_screen	854516.0	36253.0	51505.0	8575.0	723.0	507.0	217.0	165.0	2.0	0.0	0.0	257478.0	2247031.0
GmA02028_CKDL210018111-1a-5UDI245-AK533_HH72GDSX2_L1_clmp_fp2_r1_screen	38822.0	16475.0	3647.0	1506.0	449.0	81.0	190.0	110.0	2.0	0.0	0.0	109985.0	1478697.0
GmA02028_CKDL210018111-1a-5UDI245-AK533_HH72GDSX2_L1_clmp_fp2_r2_screen	38631.0	16536.0	3633.0	1409.0	461.0	80.0	185.0	90.0	5.0	0.0	0.0	109907.0	1479027.0
GmA02030_CKDL210018111-1a-5UDI225-GD06_HH72GDSX2_L1_clmp_fp2_r1_screen	27657.0	5440.0	3011.0	871.0	243.0	53.0	79.0	36.0	1.0	0.0	0.0	64171.0	535584.0
GmA02030_CKDL210018111-1a-5UDI225-GD06_HH72GDSX2_L1_clmp_fp2_r2_screen	27716.0	5465.0	2995.0	943.0	236.0	55.0	65.0	29.0	0.0	0.0	0.0	63930.0	535712.0
GmA02033_CKDL210018111-1a-AK3911-AK533_HH72GDSX2_L1_clmp_fp2_r1_screen	435051.0	29549.0	16537.0	6126.0	969.0	322.0	246.0	135.0	0.0	0.0	1.0	260122.0	2787569.0
GmA02033_CKDL210018111-1a-AK3911-AK533_HH72GDSX2_L1_clmp_fp2_r2_screen	433212.0	29629.0	16552.0	6097.0	1021.0	322.0	239.0	124.0	4.0	0.0	0.0	259382.0	2790045.0
GmA02034_CKDL210018111-1a-5UDI245-AK7557_HH72GDSX2_L1_clmp_fp2_r1_screen	101168.0	13099.0	4938.0	2038.0	234.0	117.0	104.0	61.0	0.0	0.0	1.0	89800.0	1610654.0
GmA02034_CKDL210018111-1a-5UDI245-AK7557_HH72GDSX2_L1_clmp_fp2_r2_screen	100636.0	12996.0	4930.0	1999.0	231.0	106.0	100.0	72.0	1.0	0.0	0.0	89213.0	1611930.0
GmA02035_CKDL210018111-1a-5UDI245-AK8488_HH72GDSX2_L1_clmp_fp2_r1_screen	90464.0	27605.0	13170.0	3335.0	998.0	215.0	430.0	178.0	9.0	0.0	1.0	218586.0	2837369.0
GmA02035_CKDL210018111-1a-5UDI245-AK8488_HH72GDSX2_L1_clmp_fp2_r2_screen	90231.0	28006.0	13111.0	3164.0	992.0	217.0	406.0	202.0	7.0	0.0	0.0	217697.0	2838327.0
GmA02044_CKDL210018111-1a-AK3911-GD06_HH72GDSX2_L1_clmp_fp2_r1_screen	81341.0	120429.0	15233.0	14192.0	4029.0	679.0	1671.0	1011.0	18.0	0.0	0.0	1088657.0	9140085.0
GmA02044_CKDL210018111-1a-AK3911-GD06_HH72GDSX2_L1_clmp_fp2_r2_screen	81267.0	121720.0	15401.0	14245.0	4017.0	642.0	1716.0	913.0	22.0	0.0	0.0	1085223.0	9142179.0
GmA02045_CKDL210018111-1a-AK3911-AK7557_HH72GDSX2_L1_clmp_fp2_r1_screen	259240.0	106156.0	14073.0	11021.0	4666.0	257.0	1051.0	419.0	25.0	0.0	3.0	282301.0	79228018.0
GmA02045_CKDL210018111-1a-AK3911-AK7557_HH72GDSX2_L1_clmp_fp2_r2_screen	258859.0	103337.0	14225.0	10810.0	5005.0	262.0	1102.0	481.0	16.0	0.0	0.0	277124.0	79236009.0
GmA02047_CKDL210018111-1a-AK3911-AK4236_HH72GDSX2_L1_clmp_fp2_r1_screen	0.0	0.0	26173.0	8163.0	487.0	1368.0	272.0	179.0	6.0	84.0	1.0	42248.0	1871164.0
GmA02047_CKDL210018111-1a-AK3911-AK4236_HH72GDSX2_L1_clmp_fp2_r2_screen	373845.0	19377.0	19113.0	3698.0	333.0	258.0	97.0	59.0	1.0	0.0	0.0	152467.0	1380897.0
GmA02049_CKDL210018111-1a-AK9144-AK533_HH72GDSX2_L1_clmp_fp2_r1_screen	102631.0	174041.0	10863.0	17215.0	5549.0	254.0	2156.0	738.0	609.0	0.0	3.0	458959.0	167274335.0
GmA02049_CKDL210018111-1a-AK9144-AK533_HH72GDSX2_L1_clmp_fp2_r2_screen	103518.0	176273.0	11156.0	17378.0	6137.0	276.0	2363.0	807.0	32.0	0.0	0.0	455078.0	167274335.0
GmA02054_CKDL210018111-1a-5UDI245-GC06_HH72GDSX2_L1_clmp_fp2_r1_screen	56367.0	95364.0	17364.0	7357.0	2256.0	399.0	1318.0	713.0	14.0	0.0	3.0	792111.0	7747750.0
GmA02054_CKDL210018111-1a-5UDI245-GC06_HH72GDSX2_L1_clmp_fp2_r2_screen	56072.0	95896.0	17379.0	7439.0	2259.0	422.0	1320.0	650.0	17.0	0.0	0.0	790068.0	7749494.0
GmA02055_CKDL210018111-1a-AK9144-AK4236_HH72GDSX2_L1_clmp_fp2_r1_screen	49482.0	12007.0	105755.0	1853.0	327.0	164.0	472.0	46.0	14.0	0.0	1.0	128911.0	1078994.0
GmA02055_CKDL210018111-1a-AK9144-AK4236_HH72GDSX2_L1_clmp_fp2_r2_screen	49460.0	12221.0	105575.0	1861.0	352.0	198.0	462.0	59.0	11.0	0.0	0.0	128144.0	1079683.0
GmA02058_CKDL210018111-1a-AK3911-AK8488_HH72GDSX2_L1_clmp_fp2_r1_screen	912591.0	22326.0	5091.0	7182.0	103.0	224.0	47.0	18.0	0.0	0.0	0.0	158051.0	790820.0
GmA02058_CKDL210018111-1a-AK3911-AK8488_HH72GDSX2_L1_clmp_fp2_r2_screen	907711.0	22315.0	5125.0	7193.0	98.0	219.0	65.0	25.0	0.0	0.0	0.0	156434.0	797268.0
GmA02059_CKDL210018111-1a-AK3911-AK10343_HH72GDSX2_L1_clmp_fp2_r1_screen	652301.0	16511.0	2746.0	3496.0	211.0	135.0	83.0	43.0	1.0	0.0	0.0	151450.0	1235824.0
GmA02059_CKDL210018111-1a-AK3911-AK10343_HH72GDSX2_L1_clmp_fp2_r2_screen	649532.0	16610.0	2739.0	3384.0	203.0	138.0	67.0	43.0	3.0	0.0	0.0	150133.0	1239949.0
